name,website,company_size,industry,headquarters_city,headquarters_country,type,year_founded,followers,about_us,Lang_1,Lang_2,Lang_3,Lang_4,Lang_5,Projects in their portfolio,rating,review_count,service_1,service_2,service_3,service_4,service_5,service_6,service_7,service_8,service_9,service_10,service_11,service_12,service_13,service_14,service_15,service_16,service_17,service_18,service_19,service_20,service_21,service_22,service_23,service_24
Pentagram,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Epentagram%2Ecom&urlhash=7gnU&trk=about_website,125.5,Design Services,London,England,Privately Held,1972.0,0,"Our work encompasses graphics and identity, architecture and interiors, products and packaging, exhibitions and installations, websites and digital experiences, advertising and communications. Our 24 partners are all practicing designers, and whether they are working collaboratively or independently, they always do so in friendship.

Our structure is unique. We are the only major design studio where the owners of the business are the creators of the work and serve as the primary contact for every client. This reflects our conviction that great design cannot happen without passion, intelligence and — above all — personal commitment, and is demonstrated by a portfolio that spans five decades and all industries.",,,,,,,,,design,architecture,advertising,branding,packaging,exhibitions,interiors,editorial,signage,digital,products,identity,strategy,innovation,education,cultural,creativity,art,experts,sound,music,,,
Excited!,https://www.linkedin.com/redir/redirect?url=https%3A%2F%2Fwww%2Eexcited%2Eagency%2F&urlhash=HkvS&trk=about_website,30.5,Design,Lviv,Lviv Oblast,Partnership,2018.0,2252,"Product Design Agency. We are an award-winning design agency (Red Dot Awards, CSS Design Awards, Awwwards) from Lviv.  We create experiences and design user interfaces for all kinds of devices: Web, Desktop, Mobile, and SaaS.",,,,,,,,,interaction design,ux/ui,interface design,,,,,,,,,,,,,,,,,,,,,
NetBramha - Global UX Design Studio,https://www.linkedin.com/redir/redirect?url=https%3A%2F%2Fnetbramha%2Ecom&urlhash=lxgM&trk=about_website,125.5,Design Services,Bangalore,Karnataka_India,Privately Held,2008.0,44986,"NetBramha is an award-winning full-service experience (UI/UX) Strategy and Design studio with a passion for creating delightful products & platforms. Being India’s oldest UX studio the challenge and joy of making an impact with design over the 16 years have been phenomenal. We have done this over & over again for several Fortune 500 companies as well as startups (some of them are unicorns today!) & we thoroughly enjoy the process.
 
Never shy of experimenting. 

With our Strategy + Design practice, we have impacted 1 Billion+ users across 250+ clients in 20+ countries. We believe we are on the cusp of a design revolution as the need for design thinking is more than ever. 

Few key highlights

- Championing the cause of design-led transformation of products & companies
- Worked with all the Billion Dollar startups in India (InMobi, Eka, Sprinklr, BYJU's) along with industry giants such as Reliance, EMAAR, & many more across India & the globe
- Experience & expertise across 30-odd domains (from Fintech to Life Sciences)
- Design capability across IOT, Service Design, Mobile, Web, etc.
- Founded a not-for-profit design community called DesignDay
- Won the Red Dot Design Award for disruptive maternal healthcare app 
- Won multiple Design Awards including Kyoorius Creative & Design Awards for innovative Agritech App 

We have immense respect for people who love design, food & adventure. Yes in that exact order! 😀  

Our dream & vision is to create impact & design at scale. And positively impact 100% of the global population with our superpower of Design & Design Thinking.",,,,,,,,,design strategy & consulting,user experience for mobile & web apps,interaction design,service design,product design,front end experience design,interface design,ui/ux,mobile applications,ar/vr,iot,web design,design thinking,startup design,enterprise design,b2b/b2c,,,,,,,,
SEEN Group,https://www.linkedin.com/redir/redirect?url=https%3A%2F%2Fwww%2Eseengroup%2Ecom%2F%3Futm_source%3Dlinkedin%26utm_medium%3Dbio%26utm_campaign%3Dwebsite_linkedin_bio&urlhash=1d4h&trk=about_website,125.5,Public Relations and Communications Services,London,England,Privately Held,2007.0,26132,"SEEN Group is a globally famed beauty specialist business. An industry-leading collective of beauty experts with specialist products & services powered by proprietary technology.

Creative strategy, integrated marketing communications, audience first brand experience and culturally connected social commerce.

Deep knowledge. Courageous thinking. Brilliant ideas.

SEEN Group is comprised of four key divisions:

Beauty SEEN:  Connecting brands with consumers via an expert understanding of the ‘who’, the ‘how’ and the 'why'.

Community X SEEN:  A full funnel influencer marketing team with an extensive network of influential relationships and a proprietary nano & micro creator platform, CXS.

SEEN BX: Beauty industry-defining experiences and events

SEEN Works:  Specialist thought leadership meets industry leading creative execution.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOMBAYDC,https://www.linkedin.com/redir/redirect?url=https%3A%2F%2Fbombaydc%2Ecom%2F&urlhash=CMfJ&trk=about_website,125.5,Design Services,Mumbai,Maharashtra_India,Privately Held,2015.0,67214,"BombayDC is an award-winning design and technology company headquartered in Mumbai that builds best-in-class class digital products for India’s Fortune 500 companies and startups.

New biz: sid@bombaydc.com
Careers: work@bombaydc.com
Media Relations: neha@bombaydc.com
Website: www.bombaydc.com

Bombay DC has launched mobile apps, websites and other digital experiences for clients including Kotak Mahindra Bank, NPCI, Godrej Enterprises Group, Aditya Birla Group, Tata, BITS Pilani, Kokuyo Camlin, Blue Star, Coca-Cola, Bandhan Bank, AU Bank, Trifecta Capital. Its founding differentiation lies in its people with global experience across Europe, Japan and the US and a deep understanding of the fabric of India.

Its behaviour design, product design, and engineering methods have delivered outstanding outcomes to its clients. Bombay DC’s subsidiary Branded offers brand consulting services to select clients. Its evolution in the last 10 years is driven by the gap it found in the market, there was no company offering everything needed to build world-class digital products in India. Started as a digital design company in 2015, added engineering capabilities in 2018, product management in 2021, behaviour science in 2022 and AI in 2023. It believes that top-quality products can be built at speed only when these functions are deeply in sync and under one control.

This DNA is hard to replicate for any of its competitors as it takes years to build. It’s now home to 80+ designers, behavioural scientists, and engineers in India, as well as global partners.",,,,,,,,,service design,interactive design,content design,digital product design,engineering,digital product roadmap,web & app development,,,,,,,,,,,,,,,,,
Neuron - UX/UI Design,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Eneuronux%2Ecom&urlhash=yJxp&trk=about_website,30.5,Design Services,San Francisco,California,Partnership,2016.0,4200,"Neuron is the leading UX/UI design agency for B2B workplace products. We partner with companies to create tools that increase sales, productivity, and business intelligence.",,,,,,,,,user experience (ux) design,user interface (ui) design,digital product design,progressive web apps,mobile app design,iot,design thinking,product design,web development,user research,design strategy,,,,,,,,,,,,,
Creative Boom,https://www.linkedin.com/redir/redirect?url=https%3A%2F%2Fwww%2Ecreativeboom%2Ecom&urlhash=lWo7&trk=about_website,30.5,Design Services,Manchester,England,Privately Held,2009.0,145220,"Creative Boom empowers and uplifts the creative community, offering inspiration, insights, and support to over seven million creative professionals each year. Since 2009, we’ve been a trusted resource for artists, designers, illustrators, photographers, filmmakers, and more—helping them thrive at every stage of their careers.

We keep you connected with the latest industry news, showcase inspiring work, and champion both emerging and established talent. Through our magazine, podcast, and inclusive community, we’re here to help you stand out, succeed, and build a fulfilling, creative career.",,,,,,,,,graphic design,illustration,advertising,marketing,photography,animation,film,product design,digital,art & culture,publishing,,,,,,,,,,,,,
Qubstudio,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fqubstudio%2Ecom&urlhash=NxkA&trk=about_website,125.5,Design Services,London,England,Privately Held,2006.0,3368,"Digital Product Design & Branding Agency. We help digital-first companies grow, covering all their design needs from the early startup to the scalable enterprise stage. Since 2007, we have designed numerous world-class digital products and brands in Financial Services, Logistics, IT, Healthcare, Tech Ed, and more.

Digital Product Design
- UX/UI Design
- Design Process Consultancy
- UX/UI Audit & Improvements
- Product Management
- Market & User Research
- Product Vision & Strategy

Branding & Website Design
- Logo & Visual Identity
- Naming & Verbal Identity
- Websites
- Brand Expression
- Brand Strategy

Learn how we can help you: https://qubstudio.com/services/

See our projects: https://qubstudio.com/work/ 
 
See who we are hiring now: https://qubstudio.com/career/#open-position 

And let’s talk!",,,,,,,,,ui/ux design,graphic design,product development,branding,web design,market research,user experience,fintech design,ecommerce design,marketplace design,healthcare design,saas design,rebranding,graphic design,branding,user experience,product management,app design,ux consulting,design consulting,ux design agency,ux design company,ux design firm,
TMW Tomorrow,https://www.linkedin.com/redir/redirect?url=https%3A%2F%2Fwww%2Etmwunlimited%2Ecom%2Ftmw-tomorrow&urlhash=N_gV&trk=about_website,30.5,Public Relations and Communications Services,London,England,Privately Held,2024.0,6776,"Be part of and shape the culture of tomorrow.

Nothing drives culture more than the conversations surrounding it. We use social, PR and influencer to help brands connect.",,,,,,,,,pr,social,influencer,comms,community,community management,social strategy,talent management,communications,partnerships,content,content creation,,,,,,,,,,,,
Good Ads Matter,https://www.linkedin.com/redir/redirect?url=https%3A%2F%2Fwww%2Egoodadsmatter%2Ecom&urlhash=ZHVI&trk=about_website,6.0,Advertising Services,Mumbai,Maharashtra_India,Privately Held,2022.0,0,"The 1% Club for Advertising & Marketing!

Celebrating the Best Ads & Ad Makers from Across the Globe, Hand-picked and Curated by @purposestudios


Good Ads Matter is a repository of over 3000+  advertisements from various genres, formats and filmmakers – handpicked & curated by Purpose Studios.

'Through sharing we all learn' is a belief which has inspired us to create this platform as a public domain with completely free access to all.

With Good Ads Matter, your search for the best ads end here!",,,,,,,,,advertisement,marketing,curation,,,,,,,,,,,,,,,,,,,,,
VCCP,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Evccp%2Ecom&urlhash=ayrt&trk=about_website,750.5,Advertising Services,London,England,Privately Held,,0,"VCCP is the global challenger network for challenger brands. We create enduring brand platforms that deliver value for our client's businesses and enable diverse creative ideas of exceptional quality. Our clients are the world’s most recognisable challenger brands, including Google, White Claw, Cadbury, Virgin Media O2, Cathay Pacific and Canon.",,,,,,,,,marketing,digital marketing,advertising,media,data,search,,,,,,,,,,,,,,,,,,
BUILDHOLLYWOOD,https://www.linkedin.com/redir/redirect?url=https%3A%2F%2Fwww%2Ebuildhollywood%2Eco%2Euk%2F&urlhash=Hz3U&trk=about_website,125.5,Advertising Services,London,England,Privately Held,1993.0,5444,"BUILDHOLLYWOOD celebrates our magical cities, brimming with all sorts of people, lifestyles and culture. By developing street-level poster space in carefully curated locations across the UK, we place creativity in the heart of our cities.

Built on an art school mentality that stretches back decades to our founder, we have a talented family of agencies – DIABOLICAL, JACK and JACK ARTS – who specialise in their own sectors to produce street-level poster campaigns, creative billboards, hand-painted murals, interactive installations, ambient activities, and unique experiential campaigns, creating authentic interactions with people on the street.

This combination of format, creativity and position is unique to BUILDHOLLYWOOD. It’s the reason why we work and collaborate with the most exciting brands, artists and creative institutions in the world. BUILDHOLLYWOOD are the creative street advertising specialists.",,,,,,,,,ooh,creative campaigns,poster specialist,media owner,media agency,advertising,,,,,,,,,,,,,,,,,,
Uncommon Creative Studio,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Euncommon%2Estudio&urlhash=dbSF&trk=about_website,350.5,Advertising Services,London,England,Privately Held,2017.0,108078,"Uncommon is a global creative studio based in New York, London & Stockholm, building brands that people in the real world actually wish existed.",,,,,,,,,brbuilding,innovation,advertising,design,brstrategy,communication,pr,experiential,strategy,creative technology,production,cx,crm,,,,,,,,,,,
Splendid Communications,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Esplendidcomms%2Ecom&urlhash=v6xn&trk=about_website,30.5,Public Relations and Communications Services,London,England,Privately Held,2003.0,0,"Splendid: Brand Stories for the Real World

It used to be that a loud voice and a decent ad spend was all you needed to get your message across. In today’s fragmented world the only way to project a consistent message is with brand stories strong enough to remain intact wherever they are told and shared. At Splendid we call our approach People-First Creativity. From our strategic thinking, to the way we generate ideas, to the way we work with our clients, our starting point is real people living real lives in the real world. Brief us and we’ll challenge you, we’ll urge you to keep it real and we’ll collaborate as if we’re an extension of your team. We’re here to deliver creative work that lives beyond the industry bubble. We love what we do. We’re Splendid.",,,,,,,,,communications strategy,public relations,branded entertainment,event management,branded content,digital communications,seo,social media,research,influencer marketing,content,design,production,branding,,,,,,,,,,
PREMIER,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Epremiercomms%2Ecom&urlhash=mKEX&trk=about_website,125.5,Public Relations and Communications Services,London,England,Privately Held,,0,"Creative communications for entertainment, arts and culture. 
PR / Events / Experiential / Partnerships / Social Media

PR Week Top 150 - #3 Consumer Agency 
PR Moment Awards 2017 Large Agency of the Year",,,,,,,,,online traditional pr,creative,social/digital,corporate pr,post production,events,marketing strategy,junket rooms,,,,,,,,,,,,,,,,
DDA,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Etheddagroup%2Ecom&urlhash=GO3n&trk=about_website,125.5,Marketing Services,London,England,Privately Held,1970.0,12002,"DDA is the leading global film and entertainment communications practice, offering a bespoke service and a truly worldwide reach for the Creative Industries. 

From offices in London, Los Angeles, and New York and affiliates throughout the world, DDA provides creative and insightful strategies and, turnkey campaign solutions for film, television, gaming and brands.

DDA’s broad portfolio of services includes public relations, strategic consultancy, event management, digital & social, insight & analytics, brand development, creative design, and Awards Campaigns.",,,,,,,,,communications,brands,consulting,event management,digital & social,public relations,,,,,,,,,,,,,,,,,,
Goals House,https://www.linkedin.com/redir/redirect?url=https%3A%2F%2Fgoalshouse%2Ecom%2F&urlhash=Rh-p&trk=about_website,30.5,Public Relations and Communications Services,London,England,Privately Held,2019.0,0,"Goals House is a diverse community of business and political leaders, activists, academics, philanthropists, NGOs and entrepreneurs who come together at significant global moments throughout the year. We are united in a shared mission of creating partnerships, platforming innovation and finding solutions to some of the world’s biggest challenges.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St Marks Studios,https://www.linkedin.com/redir/redirect?url=https%3A%2F%2Fwww%2Estmarksstudios%2Ecom&urlhash=rYSS&trk=about_website,6.0,Advertising Services,London,England,Public Company,2024.0,3169,"St Marks Studios is brand experience agency specialising in COOH, experiential, special builds and retail activations for consumer brands.

We’re an ideas agency – dreaming up ever innovative ways to engage customers and drive brand fame.

We’re here to bring wild and wonderful ideas to life.

Our team have expertise in an array of specialist mediums ranging from projections to flyposting and impactful murals.

We’re pioneering a new style of brand experience with eye-catching, innovative and non-traditional media solutions.

In a digital world dominated by algorithms and social media saturation – live activations and real experiences that lean into human connection are becoming more resonant.

With a focus on creativity and interactivity, we strive to captivate hearts and minds through unforgettable, shareable campaigns – using the latest tech.

From shopping centre installations to in-store theatre, influencer events and sampling – we can get thousands of potential customers hands-on with the product.

Our goal is to not only captivate audiences and deliver fame at scale but to cultivate lasting relationships between brands and consumers.

Please don’t hesitate to get in touch - info@stmarksstudios.com",,,,,,,,,cooh,experiential,flyposting,murals,retail,,,,,,,,,,,,,,,,,,,
Mother Design,https://www.linkedin.com/redir/redirect?url=https%3A%2F%2Fwww%2Emotherdesign%2Ecom%2F&urlhash=ZTx3&trk=about_website,125.5,Design,London,England,Public Company,1996.0,0,"We have a diverse portfolio of work and family of clients, brought together by a shared desire to make the best work we possibly can. 

For us, ‘best’ isn’t just about making stuff look nice, but instead design that helps to solve problems, tell a story, impact culture and drive progress within our industry and our client’s. 

So working across sectors, with clients big and small, we help brands to be at their ‘best’;  establishing their enduring foundations, and bringing them to life in a way people can see, hear and feel (through branding, experiences, spaces and product).",,,,,,,,,visual identity,brstrategy,art direction,graphic design,brbuilding,brpositioning,tone of voice,motion,experience design,typography,,,,,,,,,,,,,,
TASK PR,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Etaskpr%2Ecom&urlhash=x1oa&trk=about_website,30.5,Public Relations and Communications Services,West End,England,Partnership,2011.0,4329,"TASK PR  - Independent Fashion & Lifestyle PR and Digital Communications agency  based in central London, Berlin and Munich.

TASK PR's current clients include:

Marc Cain
Aranyani 
ASH footwear
DKNY menswear 
Thomas Sabo 
Falke 
Joules
Jaeger 
HANRO of Switzerland
Gerry Weber
Tamaris
Tateossian
Mercedes Benz Istanbul Fashion Week
Movado group -
Tommy Hilfiger, Calvin Klein, BOSS,HUGO, Coach watches and jewellery 
Ebel 
Hotter
Aigner

to name but a few",,,,,,,,,pr,events,celebrity,clothing accessories,influencer,digital consultancy,,,,,,,,,,,,,,,,,,
Publicis Groupe,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Epublicisgroupe%2Ecom&urlhash=cv97&trk=about_website,10001.0,Advertising Services,Paris,Ile de France,Public Company,,985842,"Founded in 1926 by Marcel Bleustein-Blanchet, today Publicis Groupe is the second largest communications group in the world and a leader in marketing, communication, and digital business transformation, led by Arthur Sadoun, the third CEO in its history.
 
Publicis Groupe is positioned at every step of the value chain, from consulting to execution, combining marketing transformation and digital business transformation. Publicis Groupe is a privileged partner in its clients’ transformation to enhance personalisation at scale. The Groupe relies on ten expertise concentrated within four main activities: Communication, Media, Data and Technology. Through a unified and fluid organisation, its clients have a facilitated access to all its expertise in every market. Present in over 100 countries, Publicis Groupe employs around 103,000 professionals.
 
Website: www.publicisgroupe.com
X: @PublicisGroupe
Instagram: @publicisgroupe
YouTube: http://www.youtube.com/publicisgroupe
Facebook: http://www.facebook.com/publicisgroupe",,,,,,,,,advertising,digital transformation,marketing,production,communications,consulting,media,technology,healthcare communications,pr & strategic communications,,,,,,,,,,,,,,
